study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Rosenkranz1996a	single_group1	5.0	GLI3	clearance	creatinine	urine	HPLC	NA	NA	77.7	NA	NA	NA	21.9	NA	NA	ml/min	NA
Rosenkranz1996a	single_group1	5.0	GLI3	cmax	glimepiride	serum	HPLC	NA	NA	359.2	NA	NA	NA	98.3	NA	NA	ng/ml	NA
Rosenkranz1996a	single_group1	5.0	GLI3	tmax	glimepiride	serum	HPLC	NA	NA	1.9	NA	NA	NA	0.2	NA	NA	hr	NA
Rosenkranz1996a	single_group1	5.0	GLI3	auc_end	glimepiride	serum	HPLC	48.0	hr	1357.0	NA	NA	NA	452.0	NA	NA	ng*hr/ml	NA
Rosenkranz1996a	single_group1	5.0	GLI3	oral-clearance	glimepiride	serum	HPLC	NA	NA	41.6	NA	NA	NA	18.5	NA	NA	ml/min	NA
Rosenkranz1996a	single_group1	5.0	GLI3	vd	glimepiride	serum	HPLC	NA	NA	8.47	NA	NA	NA	2.05	NA	NA	l	NA
Rosenkranz1996a	single_group1	5.0	GLI3	thalf	glimepiride	serum	HPLC	NA	NA	2.28	NA	NA	NA	0.79	NA	NA	hr	NA
Rosenkranz1996a	single_group1	5.0	GLI3	mrt	glimepiride	serum	HPLC	NA	NA	3.6	NA	NA	NA	0.9	NA	NA	hr	NA
Rosenkranz1996a	single_group1	5.0	GLI3	fractional excretion	glimepiride-M1+glimepiride-M2	urine	HPLC	NA	NA	44.4	NA	NA	NA	28.0	NA	NA	percent	NA
Rosenkranz1996a	single_group1	5.0	GLI3	cmax	glimepiride-M1	serum	HPLC	NA	NA	70.8	NA	NA	NA	14.0	NA	NA	ng/ml	NA
Rosenkranz1996a	single_group1	5.0	GLI3	tmax	glimepiride-M1	serum	HPLC	NA	NA	3.8	NA	NA	NA	0.8	NA	NA	hr	NA
Rosenkranz1996a	single_group1	5.0	GLI3	oral-clearance	glimepiride-M1	serum	HPLC	NA	NA	132.1	NA	NA	NA	66.4	NA	NA	ml/min	NA
Rosenkranz1996a	single_group1	5.0	GLI3	thalf	glimepiride-M1	serum	HPLC	NA	NA	2.79	NA	NA	NA	0.86	NA	NA	hr	NA
Rosenkranz1996a	single_group1	5.0	GLI3	clearance_renal	glimepiride-M1	serum	HPLC	NA	NA	49.6	NA	NA	NA	48.9	NA	NA	ml/min	NA
Rosenkranz1996a	single_group1	5.0	GLI3	cmax	glimepiride-M2	serum	HPLC	NA	NA	21.8	NA	NA	NA	8.5	NA	NA	ng/ml	NA
Rosenkranz1996a	single_group1	5.0	GLI3	tmax	glimepiride-M2	serum	HPLC	NA	NA	4.8	NA	NA	NA	1.5	NA	NA	hr	NA
Rosenkranz1996a	single_group1	5.0	GLI3	oral-clearance	glimepiride-M2	serum	HPLC	NA	NA	306.5	NA	NA	NA	63.6	NA	NA	ml/min	NA
Rosenkranz1996a	single_group1	5.0	GLI3	thalf	glimepiride-M2	serum	HPLC	NA	NA	4.91	NA	NA	NA	2.94	NA	NA	hr	NA
Rosenkranz1996a	single_group1	5.0	GLI3	clearance_renal	glimepiride-M2	serum	HPLC	NA	NA	52.7	NA	NA	NA	40.7	NA	NA	ml/min	NA
Rosenkranz1996a	multiple_group1	4.0	GLI3	clearance	creatinine	urine	HPLC	NA	NA	63.9	NA	NA	NA	13.8	NA	NA	ml/min	NA
