,author,keywords,pmc,pmid,prob,pubdate,title
0,SA Helmy; HM El Bedaiwy; NO Mansour,HPLC; bioavailability; glimepiride; linearity; pharmacokinetics,,27121788,0.9996540546417236,2013,Dose Linearity of Glimepiride in Healthy Human Egyptian Volunteers.
1,NC Borges; Ydel A Taveira; JA Mazucheli; AL Haddad; RE Astigarraga; RA Moreno,,,17934662,0.9993866682052612,2007,[Comparison study of two glimepiride formulations bioavailability in healthy volunteers of both sexes after a single dose administration].
2,M Niemi; JT Backman; M Neuvonen; J Laitila; PJ Neuvonen; KT Kivistö,,,11309547,0.9984790682792664,2001,Effects of fluconazole and fluvoxamine on the pharmacokinetics and pharmacodynamics of glimepiride.
3,B Rosenkranz; V Profozic; Z Metelko; V Mrzljak; C Lange; V Malerczyk,,,8960852,0.9984183311462402,1996,Pharmacokinetics and safety of glimepiride at clinically effective doses in diabetic patients with renal impairment.
4,S Kasichayanula; X Liu; WC Shyu; W Zhang; M Pfister; SC Griffen; T Li; FP LaCreta; DW Boulton,,,21114603,0.9984132051467896,2011,"Lack of pharmacokinetic interaction between dapagliflozin, a novel sodium-glucose transporter 2 inhibitor, and metformin, pioglitazone, glimepiride or sitagliptin in healthy subjects."
5,M Badian; A Korn; KH Lehr; V Malerczyk; W Waldhäusl,,,12369756,0.9981353282928467,1994,Absolute bioavailability of glimepiride (Amaryl) after oral administration.
6,M Niemi; KT Kivistö; JT Backman; PJ Neuvonen,,,11136298,0.9970974922180176,2000,Effect of rifampicin on the pharmacokinetics and pharmacodynamics of glimepiride.
7,M Niemi; PJ Neuvonen; KT Kivistö,,,11719730,0.9969263672828674,2001,Effect of gemfibrozil on the pharmacokinetics and pharmacodynamics of glimepiride.
8,AP Dewani; AS Tripathi; PG Shelke; RL Bakal; DS Mohale; AV Chandewar,,,28069690,0.9966270923614502,2017,Development of Solid-Phase Extraction and HPLC Method for Simultaneous Estimation of Ilaprazole and Glimepiride in Rat Plasma: Application to Pharmacokinetic Studies.
9,AM Mohsen; MM AbouSamra; SA ElShebiney,Glimepiride; antidiabetic; hypoglycemic; niosomes; oral bioavailability; sustained,,28330377,0.996209979057312,2017,Enhanced oral bioavailability and sustained delivery of glimepiride via niosomal encapsulation: in-vitro characterization and in-vivo evaluation.
10,HD Yoo; MS Kim; HY Cho; YB Lee,,,21476064,0.9960730075836182,2011,Population pharmacokinetic analysis of glimepiride with CYP2C9 genetic polymorphism in healthy Korean subjects.
11,KP Kim; KS Lim; BH Kim; HS Shin; JY Cho; SG Shin; IJ Jang; KS Yu,,,22257580,0.9958781003952026,2012,Pharmacokinetics of a fixed-dose glimepiride/sustained-release metformin combination.
12,M Matsuki; M Matsuda; K Kohara; M Shimoda; Y Kanda; K Tawaramoto; M Shigetoh; F Kawasaki; K Kotani; K Kaku,,,17603225,0.9954935312271118,2007,Pharmacokinetics and pharmacodynamics of glimepiride in type 2 diabetic patients: compared effects of once- versus twice-daily dosing.
13,H Li; T Pan; Y Cui; X Li; J Gao; W Yang; S Shen,glimepiride; microemulsion; pharmacodynamics; pharmacokinetics; solubility,,27540291,0.9954388737678528,2016,Improved oral bioavailability of poorly water-soluble glimepiride by utilizing microemulsion technique.
14,G Ju; K Yan; Y Xu; S Chen; Z Zheng; W Qiu,HPLC-MS/MS; adverse event; bioequivalence; glimepiride; pharmacokinetics,,32753845,0.9950332641601562,2020,Evaluation of Bioequivalency and Pharmacokinetic Parameters for Two Formulations of Glimepiride 1-mg in Chinese Subjects.
15,M Hamad; A Rahhal; WA Dayyih; E Mallah; AA Dayyih; Z Zakaria; T Arafat,Glimepiride; Vimto; liquid chromatography–mass spectrometry; pharmacokinetics,,30906140,0.9949487447738647,2019,Development and Validation of Liquid Chromatography Method for Determination of Glimepiride in Presence of (Vimto®) Soft Drinks in Rats: Application to Pharmacokinetics Studies.
16,HY Choi; YH Kim; MJ Kim; SH Lee; K Bang; S Han; HS Lim; KS Bae,,,24962635,0.9948762059211731,2014,Evaluation of pharmacokinetic drug interactions between gemigliptin (dipeptidylpeptidase-4 inhibitor) and glimepiride (sulfonylurea) in healthy volunteers.
17,A Karim; Z Zhao; M Slater; D Bradford; J Schuster; A Laurent,,,17463215,0.9939104318618774,2007,"Replicate study design in bioequivalency assessment, pros and cons: bioavailabilities of the antidiabetic drugs pioglitazone and glimepiride present in a fixed-dose combination formulation."
18,UA Shukla; EM Chi; KH Lehr,,,14742789,0.9938722848892212,2004,Glimepiride pharmacokinetics in obese versus non-obese diabetic patients.
19,M Niemi; I Cascorbi; R Timm; HK Kroemer; PJ Neuvonen; KT Kivistö,,,12235454,0.9931467175483704,2002,Glyburide and glimepiride pharmacokinetics in subjects with different CYP2C9 genotypes.
20,H Yoo; Y Kim; IJ Jang; KS Yu; S Lee,drug interaction; evogliptin; glimepiride; pharmacodynamics; pharmacokinetics,,33262578,0.99273282289505,2020,Pharmacokinetic/Pharmacodynamic Interactions Between Evogliptin and Glimepiride in Healthy Male Subjects.
21,H Yamazaki; S Tabata,,,8141820,0.9917919635772705,1993,Sex difference in pharmacokinetics of the novel sulfonylurea antidiabetic glimepiride in rats.
22,D Jovanović; D Stojsić; M Zlatković; J Jović-Stosić; M Jovanović,,,17252706,0.9915714263916016,2006,Bioequivalence assessment of the two brands of glimepiride tablets.
