study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Niemi2002	group1	12.0	GLI	auc measurement	glucose	plasma	LC MS/MS	3.0	hr	-0.6	NA	-2.0	2.95	NA	NA	NA	mmol*hr/l	decremental AUC (0-3)
Niemi2002	group1	12.0	GLI	auc measurement	glucose	plasma	LC MS/MS	7.0	hr	-4.3	NA	-9.9	1.1	NA	NA	NA	mmol*hr/l	decremental AUC (0-7)
Niemi2002	group1	12.0	GLI	pharmacodynamic measurement	glucose	plasma	LC MS/MS	NA	NA	1.8	NA	0.2	2.8	NA	NA	NA	NA	maximum increase (mmol/l)
Niemi2002	group1	12.0	GLI	pharmacodynamic measurement	glucose	plasma	LC MS/MS	NA	NA	0.8	NA	0.0	3.4	NA	NA	NA	NA	maximum increase (mmol/l)
Niemi2002	group2	5.0	GLI	auc measurement	glucose	plasma	LC MS/MS	3.0	hr	-0.9	NA	-1.9	3.6	NA	NA	NA	mmol*hr/l	decremental AUC (0-3)
Niemi2002	group2	5.0	GLI	auc measurement	glucose	plasma	LC MS/MS	7.0	hr	-8.0	NA	-10.2	3.4	NA	NA	NA	mmol*hr/l	decremental AUC (0-7)
Niemi2002	group2	5.0	GLI	pharmacodynamic measurement	glucose	plasma	LC MS/MS	NA	NA	1.4	NA	1.1	3.0	NA	NA	NA	NA	maximum increase (mmol/l)
Niemi2002	group2	5.0	GLI	pharmacodynamic measurement	glucose	plasma	LC MS/MS	NA	NA	1.1	NA	0.3	2.7	NA	NA	NA	NA	maximum increase (mmol/l)
Niemi2002	group3	3.0	GLI	auc measurement	glucose	plasma	LC MS/MS	3.0	hr	-0.1	NA	-2.0	0.2	NA	NA	NA	mmol*hr/l	decremental AUC (0-3)
Niemi2002	group3	3.0	GLI	auc measurement	glucose	plasma	LC MS/MS	7.0	hr	-8.8	NA	-12.1	-3.2	NA	NA	NA	mmol*hr/l	decremental AUC (0-7)
Niemi2002	group3	3.0	GLI	pharmacodynamic measurement	glucose	plasma	LC MS/MS	NA	NA	1.9	NA	1.6	2.9	NA	NA	NA	NA	maximum increase (mmol/l)
Niemi2002	group3	3.0	GLI	pharmacodynamic measurement	glucose	plasma	LC MS/MS	NA	NA	0.9	NA	0.0	1.5	NA	NA	NA	NA	maximum increase (mmol/l)
