study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Kim2017	all	24.0	NA	species	24.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Kim2017	all	24.0	NA	healthy	24.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Kim2017	all	24.0	NA	sex	24.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Kim2017	all	24.0	NA	ethnicity	24.0	NA	korean	NA	NA	NA	NA	NA	NA	NA	NA
Kim2017	all	24.0	NA	medication	24.0	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Kim2017	all	24.0	NA	bmi	24.0	NA	NA	22.6	NA	1.9	NA	18.5	25.0	kg/m^2	NA
Kim2017	all	24.0	NA	weight	24.0	NA	NA	68.8	NA	7.1	NA	56.6	85.0	kg	NA
Kim2017	all	24.0	NA	age	24.0	NA	NA	25.8	NA	3.7	NA	20.0	45.0	year	NA
Kim2017	all	24.0	NA	overnight fast	24.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Kim2017	SLCOIBI_TT_GLI	17.0	all	SLCO1B1 genotype	17.0	NA	c.521 T/T	NA	NA	NA	NA	NA	NA	NA	NA
Kim2017	SLCOIBI_TT_ROS	13.0	all	SLCO1B1 genotype	13.0	NA	c.521 T/T	NA	NA	NA	NA	NA	NA	NA	NA
Kim2017	SLCOIBI_TC_GLI	5.0	all	SLCO1B1 genotype	5.0	NA	c.521 T/C	NA	NA	NA	NA	NA	NA	NA	NA
Kim2017	SLCOIBI_TC_ROS	3.0	all	SLCO1B1 genotype	3.0	NA	c.521 T/C	NA	NA	NA	NA	NA	NA	NA	NA
Kim2017	CYP2C9_*1*1	17.0	all	cyp2c9 genotype	17.0	NA	*1/*1	NA	NA	NA	NA	NA	NA	NA	NA
Kim2017	CYP2C9_*1*3	5.0	all	cyp2c9 genotype	5.0	NA	*1/*3	NA	NA	NA	NA	NA	NA	NA	NA
