study	individual	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	value	mean	median	min	max	sd	se	cv	unit	comments
Kim2017	NA	all	22.0	GLI4	cmax	glimepiride	plasma	HPLC MS/MS	NA	NA	171.4	NA	NA	NA	NA	57.3	NA	NA	ng/ml	NA
Kim2017	NA	all	22.0	GLI4	auc_end	glimepiride	plasma	HPLC MS/MS	48.0	hr	955.8	NA	NA	NA	NA	284.5	NA	NA	ng*hr/ml	NA
Kim2017	NA	all	22.0	GLI4, ROS20	cmax	glimepiride	plasma	HPLC MS/MS	NA	NA	176.9	NA	NA	NA	NA	63.1	NA	NA	ng/ml	NA
Kim2017	NA	all	22.0	GLI4, ROS20	auc_end	glimepiride	plasma	HPLC MS/MS	48.0	hr	1006.6	NA	NA	NA	NA	369.3	NA	NA	ng*hr/ml	NA
Kim2017	NA	SLCOIBI_TT_GLI	17.0	GLI4	cmax	glimepiride	plasma	HPLC MS/MS	NA	NA	171.8	NA	NA	NA	NA	61.6	NA	NA	ng/ml	NA
Kim2017	NA	SLCOIBI_TT_GLI	17.0	GLI4	auc_end	glimepiride	plasma	HPLC MS/MS	48.0	hr	170.1	NA	NA	NA	NA	45.7	NA	NA	ng*hr/ml	NA
Kim2017	NA	SLCOIBI_TT_GLI	17.0	GLI4, ROS20	cmax	glimepiride	plasma	HPLC MS/MS	NA	NA	168.4	NA	NA	NA	NA	64.7	NA	NA	ng/ml	NA
Kim2017	NA	SLCOIBI_TT_GLI	17.0	GLI4, ROS20	auc_end	glimepiride	plasma	HPLC MS/MS	48.0	hr	950.8	NA	NA	NA	NA	385.4	NA	NA	ng*hr/ml	NA
Kim2017	NA	SLCOIBI_TC_GLI	5.0	GLI4	cmax	glimepiride	plasma	HPLC MS/MS	NA	NA	170.1	NA	NA	NA	NA	45.7	NA	NA	ng/ml	NA
Kim2017	NA	SLCOIBI_TC_GLI	5.0	GLI4	auc_end	glimepiride	plasma	HPLC MS/MS	48.0	hr	989.8	NA	NA	NA	NA	250.9	NA	NA	ng*hr/ml	NA
Kim2017	NA	SLCOIBI_TC_GLI	5.0	GLI4, ROS20	cmax	glimepiride	plasma	HPLC MS/MS	NA	NA	205.9	NA	NA	NA	NA	52.9	NA	NA	ng/ml	NA
Kim2017	NA	SLCOIBI_TC_GLI	5.0	GLI4, ROS20	auc_end	glimepiride	plasma	HPLC MS/MS	48.0	hr	1196.2	NA	NA	NA	NA	252.4	NA	NA	ng*hr/ml	NA
Kim2017	NA	CYP2C9_*1*1	17.0	GLI4	cmax	glimepiride	plasma	HPLC MS/MS	NA	NA	159.7	NA	NA	NA	NA	48.9	NA	NA	ng/ml	NA
Kim2017	NA	CYP2C9_*1*1	17.0	GLI4	auc_end	glimepiride	plasma	HPLC MS/MS	48.0	hr	884.0	NA	NA	NA	NA	232.3	NA	NA	ng*hr/ml	NA
Kim2017	NA	CYP2C9_*1*1	17.0	GLI4, ROS20	cmax	glimepiride	plasma	HPLC MS/MS	NA	NA	174.1	NA	NA	NA	NA	66.3	NA	NA	ng/ml	NA
Kim2017	NA	CYP2C9_*1*1	17.0	GLI4, ROS20	auc_end	glimepiride	plasma	HPLC MS/MS	48.0	hr	948.5	NA	NA	NA	NA	363.0	NA	NA	ng*hr/ml	NA
Kim2017	NA	CYP2C9_*1*3	5.0	GLI4	cmax	glimepiride	plasma	HPLC MS/MS	NA	NA	245.3	NA	NA	NA	NA	59.5	NA	NA	ng/ml	NA
Kim2017	NA	CYP2C9_*1*3	5.0	GLI4	auc_end	glimepiride	plasma	HPLC MS/MS	48.0	hr	1410.5	NA	NA	NA	NA	71.7	NA	NA	ng*hr/ml	NA
Kim2017	NA	CYP2C9_*1*3	5.0	GLI4, ROS20	cmax	glimepiride	plasma	HPLC MS/MS	NA	NA	194.8	NA	NA	NA	NA	40.9	NA	NA	ng/ml	NA
Kim2017	NA	CYP2C9_*1*3	5.0	GLI4, ROS20	auc_end	glimepiride	plasma	HPLC MS/MS	48.0	hr	1374.3	NA	NA	NA	NA	103.9	NA	NA	ng*hr/ml	NA
