study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Ratheiser1993	group2	42.0	GLI1.25	thalf	glimepiride	serum	HPLC	NA	NA	2.7	NA	NA	NA	NA	NA	NA	hr	NA
Ratheiser1993	group2	42.0	GLI1.5	thalf	glimepiride	serum	HPLC	NA	NA	2.7	NA	NA	NA	NA	NA	NA	hr	NA
Ratheiser1993	group2	42.0	GLI1.25	thalf	glimepiride-M1	serum	HPLC	NA	NA	NA	NA	3.0	3.5	NA	NA	NA	hr	NA
Ratheiser1993	group2	42.0	GLI1.5	thalf	glimepiride-M1	serum	HPLC	NA	NA	NA	NA	3.0	3.5	NA	NA	NA	hr	NA
Ratheiser1993	group2	42.0	GLI1.25	thalf	glimepiride-M2	serum	HPLC	NA	NA	NA	NA	4.1	5.6	NA	NA	NA	hr	NA
Ratheiser1993	group2	42.0	GLI1.5	thalf	glimepiride-M2	serum	HPLC	NA	NA	NA	NA	4.1	5.6	NA	NA	NA	hr	NA
Ratheiser1993	group2	42.0	GLI1.25	tmax	glimepiride-M1	serum	HPLC	NA	NA	NA	NA	1.5	2.0	NA	NA	NA	hr	NA
Ratheiser1993	group2	42.0	GLI1.25	tmax	glimepiride-M1	serum	HPLC	NA	NA	NA	NA	2.1	2.7	NA	NA	NA	hr	NA
Ratheiser1993	group2	42.0	GLI1.25	recovery	glimepiride-M1+glimepiride-M2	urine	HPLC	48.0	hr	50.0	NA	NA	NA	NA	NA	NA	percent	50% of administered glimepiride dose
Ratheiser1993	group2	42.0	GLI1.25	recovery	glimepiride-M1+glimepiride-M2	urine	HPLC	48.0	hr	50.0	NA	NA	NA	NA	NA	NA	percent	50% of administered glimepiride dose
Ratheiser1993	group2	42.0	GLI1.25	recovery	glimepiride-M1+glimepiride-M2	urine	HPLC	48.0	hr	50.0	NA	NA	NA	NA	NA	NA	percent	50% of administered glimepiride dose
Ratheiser1993	group2	42.0	GLI1.25	recovery	glimepiride-M1+glimepiride-M2	urine	HPLC	48.0	hr	50.0	NA	NA	NA	NA	NA	NA	percent	50% of administered glimepiride dose
Ratheiser1993	group2	42.0	GLI1.25	recovery	glimepiride-M1+glimepiride-M2	urine	HPLC	48.0	hr	50.0	NA	NA	NA	NA	NA	NA	percent	50% of administered glimepiride dose
Ratheiser1993	group2	42.0	GLI1.25	recovery	glimepiride-M1+glimepiride-M2	urine	HPLC	48.0	hr	50.0	NA	NA	NA	NA	NA	NA	percent	50% of administered glimepiride dose
